"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"167",2135,"AM",0,-11.5356988938371,"TULIO CAMPOS DE ALBUQUERQUE","3079","PMDB","2135-tulio campos de albuquerque",0,0
"168",2135,"AM",1,11.5356988938371,"JOSE AMAURI DA SILVA MAIA","3882","PTB","2135-jose amauri da silva maia",1,1
"169",2151,"AM",0,-32.3862729449322,"MOISES PANTOJA LIMA","2118","PMDB","2151-moises pantoja lima",1,0
"170",2151,"AM",1,32.3862729449322,"JOSE RAIMUNDO DO VALE","4147","PPB","2151-jose raimundo do vale",1,0
"171",2178,"AM",0,-29.7883597883598,"EDIVAR SOUZA","2654","PFL","2178-edivar souza",0,0
"172",2178,"AM",1,29.7883597883598,"JONES KARRER DE CASTRO MONTEIRO","4906","PPB","2178-jones karrer de castro monteiro",1,0
"173",2194,"AM",0,-13.3487654320988,"RAIMUNDO RODRIGUES DE AMORIM","1123","PPB","2194-raimundo rodrigues de amorim",1,1
"174",2194,"AM",1,13.3487654320988,"JOAO CICERO GOMES DE ALMEIDA","1469","PMDB","2194-joao cicero gomes de almeida",0,0
"175",2216,"AM",0,-4.35726469220034,"FRANCISCO COSTA DOS SANTOS","3084","PFL","2216-francisco costa dos santos",1,0
"176",2216,"AM",1,4.35726469220034,"GILBERTO RUFINO DE OLIVEIRA JUNIOR","3365","PPB","2216-gilberto rufino de oliveira junior",0,0
"177",2232,"AM",0,-6.02520750076852,"MOISES TORRES DE SOUZA","3057","PPB","2232-moises torres de souza",0,0
"178",2232,"AM",1,6.02520750076852,"JOEL RODRIGUES LOBO","3449","PTB","2232-joel rodrigues lobo",1,1
"179",2259,"AM",0,-34.2915018809685,"ELSON CARVALHO BEZERRA","3406","PSD","2259-elson carvalho bezerra",0,0
"180",2259,"AM",1,34.2915018809685,"ROBERVAL RODRIGUES DA SILVA","6961","PFL","2259-roberval rodrigues da silva",1,0
"181",2275,"AM",0,-16.8190854870775,"ABRAHAM LINCOLN DIB BASTOS","2092","PPB","2275-abraham lincoln dib bastos",1,1
"182",2275,"AM",1,16.8190854870775,"SIMAO BARROS DA SILVA","2938","PTB","2275-simao barros da silva",1,0
"183",2291,"AM",0,-24.0848443380089,"EDILSON MARTINS DE ALENCAR","2219","PTB","2291-edilson martins de alencar",0,0
"184",2291,"AM",1,24.0848443380089,"FRANCISCO DAS CHAGAS DISSICA VALERIO TOMAZ","3627","PFL","2291-francisco das chagas dissica valerio tomaz",0,0
"185",2313,"AM",0,NA,NA,NA,NA,"2313-na",0,0
"186",2313,"AM",1,NA,"ROMULO BARBOSA MATTOS","2963","PPB","2313-romulo barbosa mattos",1,1
"187",2330,"AM",0,-9.01475867570802,"ANTONIO GOMES FERREIRA","2281","PFL","2330-antonio gomes ferreira",0,0
